lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value,abs_std
delta_support,~,NFC_Total,0.7957969555458041,0.24172700640180259,0.41120984148264494,1.9352575625976485,0.05295869718002022,0.24172700640180259
delta_support,~,IRI_EC,-0.7206579438688061,-0.21890318403091466,0.6025171204531317,-1.196078782501033,0.2316658166204324,0.21890318403091466
delta_support,~,BFI_C,-0.6939454938318678,-0.2107891537671797,0.5517106931685137,-1.2578068586005315,0.208461614673086,0.2107891537671797
delta_support,~,SVS_Openness,-0.4693492912743672,-0.14256701831530227,0.398458797511501,-1.177911729404449,0.23883179847227876,0.14256701831530227
delta_support,~,IRI_FS,0.4592928905262785,0.13951234006971253,0.7001785699312316,0.6559653640509623,0.5118464098956501,0.13951234006971253
delta_support,~,BFI_A,0.40825557452434885,0.12400951924845445,0.5470547426134851,0.7462791978974774,0.4554987748572983,0.12400951924845445
delta_support,~,IRI_PD,-0.39072956459547603,-0.11868591266168506,0.42581127117249634,-0.9176120761638404,0.3588219933282728,0.11868591266168506
delta_support,~,IRI_PT,0.38511101425479305,0.11697925200571456,0.5949091976558555,0.6473441926458929,0.5174092058971018,0.11697925200571456
delta_support,~,BFI_O,0.3382816005453652,0.10275460097049208,0.4844351443160353,0.6983011131908694,0.48498890322516575,0.10275460097049208
delta_support,~,PANAS_NA,-0.30778971751130063,-0.09349255045118206,0.5019286250777807,-0.6132141147817406,0.5397347730549193,0.09349255045118206
delta_support,~,PANAS_PA,-0.17967072303534512,-0.054575813233155274,0.48858940948557156,-0.36773356021807757,0.7130719138778336,0.054575813233155274
delta_support,~,SVS_Conservation,-0.17459772356363645,-0.0530348661772156,0.3828207401796035,-0.4560821952365131,0.6483308729948096,0.0530348661772156
delta_support,~,BFI_E,0.11626945463853978,0.035317384679447575,0.47337878618713936,0.2456161070815914,0.8059794194799696,0.035317384679447575
delta_support,~,BFI_N,0.06280412721205837,0.019077044156617224,0.4795839468451475,0.13095544090888053,0.8958105567610928,0.019077044156617224
