,Factor1,Factor2,Factor3,Factor4
BFI_O,0.36749809933511407,0.07735173894753045,-0.3655398016209181,0.17262968854506508
BFI_C,-0.17726753741852552,0.8141394046443691,0.08972276648893232,-0.09772784480471915
BFI_E,0.14300312783883576,0.6216487611226236,0.04072527357497975,0.09974070284494918
BFI_A,0.21880907503011507,0.736864506243802,-0.06385839075666304,-0.03620487792092585
BFI_N,0.02213056391723224,0.5581093690649195,-0.25528318378512915,0.047528381138467066
IUS_Total,0.04480459146687642,-0.1420683651601575,0.6448975630241847,0.0008457796273279773
NFC_Total,0.010454671881610552,0.04777395651923179,0.994733571264691,0.03368484012470324
IRI_PT,0.88290969611021,-0.15732734599210174,0.059529251194951366,0.04623366992536703
IRI_FS,0.9022117748801,0.07853026936935542,-0.008194775252280108,0.022811728944311882
IRI_EC,0.7946583305150291,0.09005613398787111,-0.05872872098568054,-0.1230452417640905
IRI_PD,0.44920098012423476,0.18830919839920593,0.18481559164469222,-0.08345232876777055
PANAS_PA,0.12384277996095046,0.32704451102141596,0.036761200640704955,0.6253685112201831
PANAS_NA,-0.04857745227835082,-0.08805772118645883,0.01882621616206263,0.980679072400447
SVS_Openness,0.29793128476267433,0.019063773445982188,-0.08174439495938383,0.0526391696793998
SVS_Conservation,0.09724085431727607,0.33214759303296054,0.18275047326886643,-0.16127692753576908
